text,label
"Financial Stability and Payment Systems Report 2018 87
Regulatory
and
Supervisory
Framework
Strengthening Shariah Compliance Risk Culture
By Faizal Jaafar, Mohd Hairi Mohd Tahir and Nurlida Jasmin Ismail
Introduction
Shariah is the central tenet of Islamic fi nance.",2
"Its principles, which promote fairness and transparency, underpin
the conduct of Islamic fi nance transactions.",2
"Failures in fully observing Shariah principles can thus affect the
validity and enforceability of Islamic fi nance transactions, and increase fi nancial and non-fi nancial risks for Islamic
fi nancial institutions.",2
"For example, it is prohibited for Islamic fi nancial institutions to recognise income derived from
transactions that have not fully observed Shariah requirements.",2
"This could lead to safety and soundness concerns
for an Islamic fi nancial institution.",2
"Incidents of non-compliances on a broader scale can, in turn, undermine
confi dence in the Islamic fi nancial sector and its stability.",2
"The effective management of Shariah non-compliance
risk is therefore paramount, especially with the growing signifi cance of Islamic fi nance as a key component of the
fi nancial system, domestically and globally.",2
"This article highlights the approach by the Bank and the practices of
Islamic fi nancial institutions in inculcating an effective Shariah compliance risk culture.",2
"Diagram 1
Factors Contributing to Shariah Non-Compliance
Systems People
Lack of adequate systems in place or Lack of competency, knowledge or training on
technological limitations Shariah-related matters in Islamic finance
e.g.",2
inability of systems to identify ownership of e.g.,2
"contract concluded without evidence of
assets prior to sales transaction (employment of acceptance by customer
1
systems that are structurally designed for the
conventional financial system) 2
Factors:
Shariah
Non-Compliance
3
Internal Processes
4
External Events
Implementation of transactions are not in
accordance with proper procedure or agreed
contractual terms Incidents outside the control of the institutions
e.g.",2
execution of tripartite sale transactions e.g.,2
"changes in the classification of
(tawarruq) in the incorrect sequence Shariah-compliant equity
Source: Bank Negara Malaysia
Shariah Compliance in Malaysia
Section 28 of the Islamic Financial Services Act 2013 (IFSA 2013) requires Islamic fi nancial institutions to ensure that
their aims and operations, business, affairs and activities are aligned to and in compliance with Shariah principles
at all times.",2
"In practice, Shariah compliance is supported in Malaysia under a two-tier governance structure
that operates at the industry and institutional levels.",2
"This is further reinforced through the regulatory framework,
supervision and the control functions of Islamic fi nancial institutions.",2
"a) Centralised Shariah Advisory Council
At the industry level, the Shariah Advisory Council of Bank Negara Malaysia (the SAC) is the highest authority
in the ascertainment of Islamic law for Islamic fi nancial business conducted by institutions regulated by the
Bank.",2
"While Islam recognises diversity of fi qh interpretations and approaches to implementation, the existence
of a central authority is critical in providing certainty and uniformity in Shariah interpretations.",2
"The role of the
SAC in providing national level Shariah certainty for Islamic fi nance has enabled the orderly development of the
Financial Stability and Payment Systems Report 2018 1
88 Financial Stability and Payment Systems Report 2018
Regulatory
and
Supervisory
Framework
Islamic fi nancial system, mitigating variations and confl icting Shariah interpretations that may undermine public
confi dence and create gaps in market practices.",2
"b) Shariah committees of individual Islamic fi nancial institutions
At the institutional level, each Islamic fi nancial institution has a Shariah committee responsible for advising the
management and board on matters relating to Shariah in all aspects of the institution’s business, affairs, practices
and activities.",2
"While the SAC typically deliberates on industry-wide implications of applying a particular Shariah
principle, the institutional level Shariah committee focuses on Shariah issues that are specifi c to the institution.",2
"These include those relating to the development of bespoke products and services, as well as business
operations.",2
"Currently, there are more than 150 qualifi ed Shariah scholars – local and international – who are
appointed as Shariah committee members at 55 Islamic fi nancial institutions.",2
"c) Shariah risk management, Shariah review and Shariah audit functions
The role of the Shariah committee is supported by designated control functions within Islamic fi nancial institutions,
namely the Shariah risk management, Shariah review and Shariah audit functions.",2
"These functions are independent
of the business lines and responsible to provide an objective assessment and assurance of the effectiveness of
an Islamic fi nancial institution’s compliance with Shariah and management of Shariah non-compliance risks.",2
"The
establishment of these control functions and the strengthening of their capacity over time have been instrumental in
promoting a strong Shariah compliance risk culture within Islamic fi nancial institutions.",2
"d) Regulatory framework
Since 2012, the Bank has issued 14 Shariah Standards and Operational Requirements which give effect to
rulings by the SAC and serve to promote the effective management of risks in Islamic fi nancial business.",2
"This
has led to enhanced internal policies and processes of Islamic fi nancial institutions to effectively manage Shariah
non-compliance risks in their business undertakings.",2
"In particular, the regulatory standards have had an important
role in reducing legal and operational risks associated with people and system in the operationalisation and
innovation of Islamic fi nancial products and services.",2
"The upcoming revision to the Shariah Governance Framework will further strengthen Shariah governance
implementation within institutions.",2
"The framework outlines specifi c expectations for Shariah considerations to be
more closely integrated with the business and risk strategies of Islamic fi nancial institutions.",2
