text,label
"International Journal of Economics, Management and Accounting 30, no.",2
"1 (2022): 101-123
© 2022 by The International Islamic University Malaysia
SHARĪʿAH RISK MANAGEMENT PRACTICES IN
MALAYSIAN ISLĀMIC BANKS
Noraini Mohd Ariffin
Department of Accounting, Kulliyyah of Economics and Management
Sciences, International Islamic University Malaysia, P.O.",2
"Box 10,
50728 Kuala Lumpur, Malaysia.",2
"(Email: norainima@iium.edu.my)
ABSTRACT
Sharīʿah compliance in Islāmic banks is important to provide confidence and
assurance to the public, as well as improve the credibility of Islāmic banking
operations in the financial market.",2
"Islāmic banks can be potentially exposed
to the Sharīʿah non-compliance risk if the operations and business activities
do not adhere to Sharīʿah principles.",2
"In light of this, Sharīʿah risk
management is very important in Islāmic banks.",2
"The Central Bank of
Malaysia (Bank Negara Malaysia) requires Islāmic banks to incorporate
Sharīʿah risk management practices as part of the necessary Sharīʿah
functions in Islāmic banking institutions.",2
"This is part of the Sharīʿah
Governance Policy Document, issued by Bank Negara Malaysia in 2019.",2
"The
Sharīʿah risk management function is to systematically identify, measure,
monitor and control Sharīʿah non-compliance risk and mitigate any potential
non-compliance events.",2
"This is consistent with the other two Sharīʿah control
functions, which involve Sharīʿah review and Sharīʿah audit.",2
"Within this
setting, the present study is conducted to examine the existing Sharīʿah risk
management practices in selected Islāmic banks in Malaysia as well as
providing recommendations on the best Sharīʿah risk management practices.",2
Institutional theory and contingency theory are used in this study.,2
"Interviews
with several key officers from selected Islāmic banks were conducted to
obtain their views on Sharīʿah risk management practices since they are
involved directly in managing Sharīʿah non-compliance risks in their
respective banks.",2
"Findings showed that existing Sharīʿah risk management
practices in Islāmic banks are similar to those of conventional banking
institutions in terms of risk identification, risk measurement, risk monitoring
and controlling, and risk reporting.",1
"Nonetheless, for Sharīʿah risk
management, the focus was on managing Sharīʿah non-compliance since
Sharīʿah requirements need to be adhered to at all times.",2
"All of the
interviewees from the selected banks agreed that the risk identification stage
is the most crucial in Sharīʿah risk management.",2
"The implication of the study
is to have a Sharīʿah risk management framework for Islāmic banks so that
practices are consistently used.",2
"In addition, this can assist the Sharīʿah audit
102 International Journal of Economics, Management and Accounting 30, no.",2
"1 (2022)
in conducting risk-based audit.",2
"Bank Negara Malaysia should also play a role
by issuing guidelines on Sharīʿah risk management as a guidance for Islāmic
banks in Malaysia.",2
"JEL Classification: G30, M42, M48
Keywords: Sharīʿah non-compliance risk, Sharīʿah risk management,
Islāmic banks
Submitted: 31/10/2020 Accepted: 15/01/2022 Published: 28/06/2022
1.",2
"INTRODUCTION
The Islāmic Financial Services Board (2005) stated that Sharīʿah non-
compliance risk arises from Islāmic banking institutions’ inability to
adhere to the Sharīʿah rules and principles established by an
institution’s own Sharīʿah Board or the relevant bodies in the
jurisdiction where Islāmic banking institutions operate.",2
"Sharīʿah
compliance is crucial to Islāmic banking institution practice, and such
compliance necessity must be infused throughout the organization, its
products, and activities.",2
"Since most fund providers use Sharīʿah-
compliant banking services, their perceptions of Islāmic bank
compliance with Sharīʿah rules and principles are critical for their
sustainability.",2
"In this respect, Sharīʿah non-compliance risk is deemed
the highest priority compared to other recognized risks.",2
"If Islāmic
banks do not comply with Sharīʿah rules and principles, their
transactions ought to be void, and any income made from them must
be channelled to charitable organizations.",0
